#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2NI,,,
#Serial Number: SN:210321A291F6,,,
#Date Time: 2018-03-07 17:21:18.548,,,
#Sample rate: 20000Hz,,,
#Samples: 256,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Either Level: 0 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 500 mV/div Offset: 0 V,,,
#Channel 2: Range: 500 mV/div Offset: 0 V,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),Current (A)
0.124506897,1.78266164,1.16481673,0.001164817
0.124556897,1.80272502,1.184225074,0.001184225
0.124606897,1.822788401,1.203633418,0.001203633
0.124656897,1.842851782,1.222707136,0.001222707
0.124706897,1.862580773,1.241780853,0.001241781
0.124756897,1.882978543,1.261189198,0.001261189
0.124806897,1.902707534,1.280262915,0.001280263
0.124856897,1.922770915,1.299671259,0.001299671
0.124906897,1.942834295,1.318744977,0.001318745
0.124956897,1.962563286,1.337818695,0.001337819
0.125006897,1.982961057,1.357561665,0.001357562
0.125056897,-1.474962602,0.1803452,0.000180345
0.125106897,-1.978887846,-0.000353178,-3.53178E-07
0.125156897,-1.958824466,-0.000687804,-6.87804E-07
0.125206897,-1.939095475,-0.001022431,-1.02243E-06
0.125256897,-1.919032094,-0.001022431,-1.02243E-06
0.125306897,-1.898968713,-0.001022431,-1.02243E-06
0.125356897,-1.878905333,-0.001022431,-1.02243E-06
0.125406897,-1.858841952,-0.001022431,-1.02243E-06
0.125456897,-1.838444182,-0.001022431,-1.02243E-06
0.125506897,-1.818715191,-0.001022431,-1.02243E-06
0.125556897,-1.79831742,-0.001022431,-1.02243E-06
0.125606897,-1.778922819,-0.001022431,-1.02243E-06
0.125656897,-1.759193828,-0.001022431,-1.02243E-06
0.125706897,-1.738796058,-0.001022431,-1.02243E-06
0.125756897,-1.719067067,-0.001022431,-1.02243E-06
0.125806897,-1.699003686,-0.001022431,-1.02243E-06
0.125856897,-1.678605916,-0.001022431,-1.02243E-06
0.125906897,-1.658876925,-0.001022431,-1.02243E-06
0.125956897,-1.638813544,-0.001022431,-1.02243E-06
0.126006897,-1.619084553,-0.001022431,-1.02243E-06
0.126056897,-1.599355562,-0.001022431,-1.02243E-06
0.126106897,-1.578957792,-0.001022431,-1.02243E-06
0.126156897,-1.558894411,-0.001022431,-1.02243E-06
0.126206897,-1.53916542,-0.001022431,-1.02243E-06
0.126256897,-1.519102039,-0.001022431,-1.02243E-06
0.126306897,-1.499038659,-0.001022431,-1.02243E-06
0.126356897,-1.478975278,-0.001022431,-1.02243E-06
0.126406897,-1.458577508,-0.001022431,-1.02243E-06
0.126456897,-1.438848517,-0.001022431,-1.02243E-06
0.126506897,-1.418785136,-0.001022431,-1.02243E-06
0.126556897,-1.399056145,-0.001022431,-1.02243E-06
0.126606897,-1.378992764,-0.001022431,-1.02243E-06
0.126656897,-1.358929384,-0.001022431,-1.02243E-06
0.126706897,-1.338866003,-0.001022431,-1.02243E-06
0.126756897,-1.319137012,-0.001357058,-1.35706E-06
0.126806897,-1.298739242,-0.001022431,-1.02243E-06
0.126856897,-1.278341471,-0.001022431,-1.02243E-06
0.126906897,-1.25861248,-0.001022431,-1.02243E-06
0.126956897,-1.238883489,-0.001022431,-1.02243E-06
0.127006897,-1.218820109,-0.001022431,-1.02243E-06
0.127056897,-1.198422338,-0.001022431,-1.02243E-06
0.127106897,-1.178358958,-0.001022431,-1.02243E-06
0.127156897,-1.158295577,-0.001022431,-1.02243E-06
